run_id,stage,family,instance,policy,solver,gap,seed,record,outcome,infrastructure_failure,status
i077-cplex-sgtm-instance077-Role-Hybrid-g0.01-s1,i077,SG-Ter-Mer,instance077,Role-Hybrid,cplex,0.01,1,True,COMPLETED,False,present: solver outcome
i077-cplex-sgtm-instance077-Flat-L2-g0.01-s1,i077,SG-Ter-Mer,instance077,Flat-L2,cplex,0.01,1,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Base-g0.01-s1,i077,SG-Ter-Mer,instance077,Base,cplex,0.01,1,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Flat-GM-g0.01-s1,i077,SG-Ter-Mer,instance077,Flat-GM,cplex,0.01,1,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Flat-L2-g0.001-s1,i077,SG-Ter-Mer,instance077,Flat-L2,cplex,0.001,1,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Flat-GM-g0.001-s1,i077,SG-Ter-Mer,instance077,Flat-GM,cplex,0.001,1,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Base-g0.001-s1,i077,SG-Ter-Mer,instance077,Base,cplex,0.001,1,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Role-Hybrid-g0.001-s1,i077,SG-Ter-Mer,instance077,Role-Hybrid,cplex,0.001,1,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Flat-GM-g0.01-s2,i077,SG-Ter-Mer,instance077,Flat-GM,cplex,0.01,2,True,COMPLETED,False,present: solver outcome
i077-cplex-sgtm-instance077-Flat-L2-g0.01-s2,i077,SG-Ter-Mer,instance077,Flat-L2,cplex,0.01,2,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Role-Hybrid-g0.01-s2,i077,SG-Ter-Mer,instance077,Role-Hybrid,cplex,0.01,2,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Base-g0.01-s2,i077,SG-Ter-Mer,instance077,Base,cplex,0.01,2,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Flat-L2-g0.001-s2,i077,SG-Ter-Mer,instance077,Flat-L2,cplex,0.001,2,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Flat-GM-g0.001-s2,i077,SG-Ter-Mer,instance077,Flat-GM,cplex,0.001,2,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Role-Hybrid-g0.001-s2,i077,SG-Ter-Mer,instance077,Role-Hybrid,cplex,0.001,2,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Base-g0.001-s2,i077,SG-Ter-Mer,instance077,Base,cplex,0.001,2,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Flat-L2-g0.01-s3,i077,SG-Ter-Mer,instance077,Flat-L2,cplex,0.01,3,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Role-Hybrid-g0.01-s3,i077,SG-Ter-Mer,instance077,Role-Hybrid,cplex,0.01,3,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Flat-GM-g0.01-s3,i077,SG-Ter-Mer,instance077,Flat-GM,cplex,0.01,3,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Base-g0.01-s3,i077,SG-Ter-Mer,instance077,Base,cplex,0.01,3,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Flat-GM-g0.001-s3,i077,SG-Ter-Mer,instance077,Flat-GM,cplex,0.001,3,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Base-g0.001-s3,i077,SG-Ter-Mer,instance077,Base,cplex,0.001,3,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Flat-L2-g0.001-s3,i077,SG-Ter-Mer,instance077,Flat-L2,cplex,0.001,3,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Role-Hybrid-g0.001-s3,i077,SG-Ter-Mer,instance077,Role-Hybrid,cplex,0.001,3,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Flat-GM-g0.01-s4,i077,SG-Ter-Mer,instance077,Flat-GM,cplex,0.01,4,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Flat-L2-g0.01-s4,i077,SG-Ter-Mer,instance077,Flat-L2,cplex,0.01,4,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Role-Hybrid-g0.01-s4,i077,SG-Ter-Mer,instance077,Role-Hybrid,cplex,0.01,4,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Base-g0.01-s4,i077,SG-Ter-Mer,instance077,Base,cplex,0.01,4,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Flat-L2-g0.001-s4,i077,SG-Ter-Mer,instance077,Flat-L2,cplex,0.001,4,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Role-Hybrid-g0.001-s4,i077,SG-Ter-Mer,instance077,Role-Hybrid,cplex,0.001,4,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Flat-GM-g0.001-s4,i077,SG-Ter-Mer,instance077,Flat-GM,cplex,0.001,4,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Base-g0.001-s4,i077,SG-Ter-Mer,instance077,Base,cplex,0.001,4,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Flat-GM-g0.01-s5,i077,SG-Ter-Mer,instance077,Flat-GM,cplex,0.01,5,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Base-g0.01-s5,i077,SG-Ter-Mer,instance077,Base,cplex,0.01,5,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Flat-L2-g0.01-s5,i077,SG-Ter-Mer,instance077,Flat-L2,cplex,0.01,5,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Role-Hybrid-g0.01-s5,i077,SG-Ter-Mer,instance077,Role-Hybrid,cplex,0.01,5,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Role-Hybrid-g0.001-s5,i077,SG-Ter-Mer,instance077,Role-Hybrid,cplex,0.001,5,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Base-g0.001-s5,i077,SG-Ter-Mer,instance077,Base,cplex,0.001,5,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Flat-L2-g0.001-s5,i077,SG-Ter-Mer,instance077,Flat-L2,cplex,0.001,5,False,,,absent: not yet executed
i077-cplex-sgtm-instance077-Flat-GM-g0.001-s5,i077,SG-Ter-Mer,instance077,Flat-GM,cplex,0.001,5,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Flat-L2-g0.01-s1,i077,SG-Ter-Mer,instance077c,Flat-L2,cplex,0.01,1,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Flat-GM-g0.01-s1,i077,SG-Ter-Mer,instance077c,Flat-GM,cplex,0.01,1,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Base-g0.01-s1,i077,SG-Ter-Mer,instance077c,Base,cplex,0.01,1,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Role-Hybrid-g0.01-s1,i077,SG-Ter-Mer,instance077c,Role-Hybrid,cplex,0.01,1,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Base-g0.001-s1,i077,SG-Ter-Mer,instance077c,Base,cplex,0.001,1,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Role-Hybrid-g0.001-s1,i077,SG-Ter-Mer,instance077c,Role-Hybrid,cplex,0.001,1,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Flat-GM-g0.001-s1,i077,SG-Ter-Mer,instance077c,Flat-GM,cplex,0.001,1,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Flat-L2-g0.001-s1,i077,SG-Ter-Mer,instance077c,Flat-L2,cplex,0.001,1,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Role-Hybrid-g0.01-s2,i077,SG-Ter-Mer,instance077c,Role-Hybrid,cplex,0.01,2,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Base-g0.01-s2,i077,SG-Ter-Mer,instance077c,Base,cplex,0.01,2,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Flat-GM-g0.01-s2,i077,SG-Ter-Mer,instance077c,Flat-GM,cplex,0.01,2,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Flat-L2-g0.01-s2,i077,SG-Ter-Mer,instance077c,Flat-L2,cplex,0.01,2,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Flat-GM-g0.001-s2,i077,SG-Ter-Mer,instance077c,Flat-GM,cplex,0.001,2,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Flat-L2-g0.001-s2,i077,SG-Ter-Mer,instance077c,Flat-L2,cplex,0.001,2,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Role-Hybrid-g0.001-s2,i077,SG-Ter-Mer,instance077c,Role-Hybrid,cplex,0.001,2,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Base-g0.001-s2,i077,SG-Ter-Mer,instance077c,Base,cplex,0.001,2,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Role-Hybrid-g0.01-s3,i077,SG-Ter-Mer,instance077c,Role-Hybrid,cplex,0.01,3,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Flat-GM-g0.01-s3,i077,SG-Ter-Mer,instance077c,Flat-GM,cplex,0.01,3,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Base-g0.01-s3,i077,SG-Ter-Mer,instance077c,Base,cplex,0.01,3,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Flat-L2-g0.01-s3,i077,SG-Ter-Mer,instance077c,Flat-L2,cplex,0.01,3,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Role-Hybrid-g0.001-s3,i077,SG-Ter-Mer,instance077c,Role-Hybrid,cplex,0.001,3,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Flat-GM-g0.001-s3,i077,SG-Ter-Mer,instance077c,Flat-GM,cplex,0.001,3,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Flat-L2-g0.001-s3,i077,SG-Ter-Mer,instance077c,Flat-L2,cplex,0.001,3,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Base-g0.001-s3,i077,SG-Ter-Mer,instance077c,Base,cplex,0.001,3,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Flat-L2-g0.01-s4,i077,SG-Ter-Mer,instance077c,Flat-L2,cplex,0.01,4,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Base-g0.01-s4,i077,SG-Ter-Mer,instance077c,Base,cplex,0.01,4,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Flat-GM-g0.01-s4,i077,SG-Ter-Mer,instance077c,Flat-GM,cplex,0.01,4,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Role-Hybrid-g0.01-s4,i077,SG-Ter-Mer,instance077c,Role-Hybrid,cplex,0.01,4,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Flat-GM-g0.001-s4,i077,SG-Ter-Mer,instance077c,Flat-GM,cplex,0.001,4,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Role-Hybrid-g0.001-s4,i077,SG-Ter-Mer,instance077c,Role-Hybrid,cplex,0.001,4,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Flat-L2-g0.001-s4,i077,SG-Ter-Mer,instance077c,Flat-L2,cplex,0.001,4,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Base-g0.001-s4,i077,SG-Ter-Mer,instance077c,Base,cplex,0.001,4,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Role-Hybrid-g0.01-s5,i077,SG-Ter-Mer,instance077c,Role-Hybrid,cplex,0.01,5,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Flat-GM-g0.01-s5,i077,SG-Ter-Mer,instance077c,Flat-GM,cplex,0.01,5,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Flat-L2-g0.01-s5,i077,SG-Ter-Mer,instance077c,Flat-L2,cplex,0.01,5,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Base-g0.01-s5,i077,SG-Ter-Mer,instance077c,Base,cplex,0.01,5,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Flat-L2-g0.001-s5,i077,SG-Ter-Mer,instance077c,Flat-L2,cplex,0.001,5,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Role-Hybrid-g0.001-s5,i077,SG-Ter-Mer,instance077c,Role-Hybrid,cplex,0.001,5,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Flat-GM-g0.001-s5,i077,SG-Ter-Mer,instance077c,Flat-GM,cplex,0.001,5,False,,,absent: not yet executed
i077-cplex-sgtm-instance077c-Base-g0.001-s5,i077,SG-Ter-Mer,instance077c,Base,cplex,0.001,5,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Flat-GM-g0.01-s1,i077,SG-Ter-Mer,instance077,Flat-GM,gurobi,0.01,1,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Role-Hybrid-g0.01-s1,i077,SG-Ter-Mer,instance077,Role-Hybrid,gurobi,0.01,1,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Base-g0.01-s1,i077,SG-Ter-Mer,instance077,Base,gurobi,0.01,1,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Flat-L2-g0.01-s1,i077,SG-Ter-Mer,instance077,Flat-L2,gurobi,0.01,1,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Role-Hybrid-g0.001-s1,i077,SG-Ter-Mer,instance077,Role-Hybrid,gurobi,0.001,1,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Flat-L2-g0.001-s1,i077,SG-Ter-Mer,instance077,Flat-L2,gurobi,0.001,1,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Flat-GM-g0.001-s1,i077,SG-Ter-Mer,instance077,Flat-GM,gurobi,0.001,1,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Base-g0.001-s1,i077,SG-Ter-Mer,instance077,Base,gurobi,0.001,1,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Role-Hybrid-g0.01-s2,i077,SG-Ter-Mer,instance077,Role-Hybrid,gurobi,0.01,2,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Base-g0.01-s2,i077,SG-Ter-Mer,instance077,Base,gurobi,0.01,2,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Flat-L2-g0.01-s2,i077,SG-Ter-Mer,instance077,Flat-L2,gurobi,0.01,2,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Flat-GM-g0.01-s2,i077,SG-Ter-Mer,instance077,Flat-GM,gurobi,0.01,2,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Role-Hybrid-g0.001-s2,i077,SG-Ter-Mer,instance077,Role-Hybrid,gurobi,0.001,2,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Flat-GM-g0.001-s2,i077,SG-Ter-Mer,instance077,Flat-GM,gurobi,0.001,2,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Flat-L2-g0.001-s2,i077,SG-Ter-Mer,instance077,Flat-L2,gurobi,0.001,2,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Base-g0.001-s2,i077,SG-Ter-Mer,instance077,Base,gurobi,0.001,2,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Base-g0.01-s3,i077,SG-Ter-Mer,instance077,Base,gurobi,0.01,3,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Flat-GM-g0.01-s3,i077,SG-Ter-Mer,instance077,Flat-GM,gurobi,0.01,3,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Role-Hybrid-g0.01-s3,i077,SG-Ter-Mer,instance077,Role-Hybrid,gurobi,0.01,3,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Flat-L2-g0.01-s3,i077,SG-Ter-Mer,instance077,Flat-L2,gurobi,0.01,3,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Role-Hybrid-g0.001-s3,i077,SG-Ter-Mer,instance077,Role-Hybrid,gurobi,0.001,3,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Flat-GM-g0.001-s3,i077,SG-Ter-Mer,instance077,Flat-GM,gurobi,0.001,3,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Flat-L2-g0.001-s3,i077,SG-Ter-Mer,instance077,Flat-L2,gurobi,0.001,3,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Base-g0.001-s3,i077,SG-Ter-Mer,instance077,Base,gurobi,0.001,3,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Base-g0.01-s4,i077,SG-Ter-Mer,instance077,Base,gurobi,0.01,4,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Role-Hybrid-g0.01-s4,i077,SG-Ter-Mer,instance077,Role-Hybrid,gurobi,0.01,4,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Flat-GM-g0.01-s4,i077,SG-Ter-Mer,instance077,Flat-GM,gurobi,0.01,4,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Flat-L2-g0.01-s4,i077,SG-Ter-Mer,instance077,Flat-L2,gurobi,0.01,4,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Flat-GM-g0.001-s4,i077,SG-Ter-Mer,instance077,Flat-GM,gurobi,0.001,4,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Base-g0.001-s4,i077,SG-Ter-Mer,instance077,Base,gurobi,0.001,4,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Role-Hybrid-g0.001-s4,i077,SG-Ter-Mer,instance077,Role-Hybrid,gurobi,0.001,4,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Flat-L2-g0.001-s4,i077,SG-Ter-Mer,instance077,Flat-L2,gurobi,0.001,4,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Flat-GM-g0.01-s5,i077,SG-Ter-Mer,instance077,Flat-GM,gurobi,0.01,5,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Role-Hybrid-g0.01-s5,i077,SG-Ter-Mer,instance077,Role-Hybrid,gurobi,0.01,5,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Flat-L2-g0.01-s5,i077,SG-Ter-Mer,instance077,Flat-L2,gurobi,0.01,5,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Base-g0.01-s5,i077,SG-Ter-Mer,instance077,Base,gurobi,0.01,5,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Flat-L2-g0.001-s5,i077,SG-Ter-Mer,instance077,Flat-L2,gurobi,0.001,5,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Role-Hybrid-g0.001-s5,i077,SG-Ter-Mer,instance077,Role-Hybrid,gurobi,0.001,5,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Base-g0.001-s5,i077,SG-Ter-Mer,instance077,Base,gurobi,0.001,5,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077-Flat-GM-g0.001-s5,i077,SG-Ter-Mer,instance077,Flat-GM,gurobi,0.001,5,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077c-Flat-GM-g0.01-s1,i077,SG-Ter-Mer,instance077c,Flat-GM,gurobi,0.01,1,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077c-Role-Hybrid-g0.01-s1,i077,SG-Ter-Mer,instance077c,Role-Hybrid,gurobi,0.01,1,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077c-Flat-L2-g0.01-s1,i077,SG-Ter-Mer,instance077c,Flat-L2,gurobi,0.01,1,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077c-Base-g0.01-s1,i077,SG-Ter-Mer,instance077c,Base,gurobi,0.01,1,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077c-Flat-GM-g0.001-s1,i077,SG-Ter-Mer,instance077c,Flat-GM,gurobi,0.001,1,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077c-Role-Hybrid-g0.001-s1,i077,SG-Ter-Mer,instance077c,Role-Hybrid,gurobi,0.001,1,False,,,absent: not yet executed
i077-gurobi-sgtm-instance077c-Flat-L2-g0.001-s1,i077,SG-Ter-Mer,instance077c,Flat-L2,gurobi,0.001,1,False,,,absent: not yet executed
