run_id,stage,shard,order,family,instance,instance_path,instance_sha256,policy,solver,gap,seed,cap_s,threads,campaign_id,manifest_sha256,git_commit,binary_sha256,solver_version,primal_feasibility_tol,integrality_tol,presolve,internal_scaling,node,cpu_model,slurm_job_id,slurm_array_task_id,start_utc,end_utc,wall_s,return_code,outcome,infrastructure_failure,external_timeout,nosol_status,nosol_time_s,nosol_best_bound,highs_model_status,highs_lp_iterations,objetivo_post,status_solver,tiempo_solver_s,gap_pct,objetivo_solver,best_bound,nodos_explorados,iter_simplex,work_units,dettime_ticks,root_gap,root_time,presolve_time_s,rows_presolved,cols_presolved,solver_warnings,solver_warnings_txt,verif_solver_max_le,verif_solver_max_ge,verif_solver_max_eq,verif_solver_max_lb,verif_solver_max_ub,verif_solver_max_int,verif_solver_max_viol_rel,verif_solver_max_viol_relact,verif_solver_missing,verif_solver_obj_original,verif_post_max_le,verif_post_max_ge,verif_post_max_eq,verif_post_max_lb,verif_post_max_ub,verif_post_max_int,verif_post_max_viol_rel,verif_post_max_viol_relact,verif_post_missing,verif_post_obj_original,completed,censored,failed,no_incumbent,par10_s,verified_strict,verified
repl-cplex-caso01a-Base-g0.001,replication,0,6,Simple,caso01a,data/entradas/entrada-modelo-simple/caso01a.txt,977dbcbdeb57dc61840639321d8ed5e438411e7a08abd3fc4a34cba517818a56,Base,cplex,0.001,42,1800.0,16,solver-robustness-v1,bee029090366943c2496a73a20240bfe5700fbd938e38f8542334561728cb78f,699fddaf6c983966dc9f6cffd8bc9952f59e030e,d7279d978438547fa2203930a8f0839b0854d4f85a384fc4388dab18d07d7a19,22.1.2.0,1e-06,1e-05,solver default,solver default,node09.datos.cluster.uy,Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,5810123,0,2026-09-24T21:28:11+00:00,2026-09-24T21:28:14+00:00,3.3500172048807144,0,COMPLETED,False,False,,,,,,-353956000.0,OPTIMAL,1.022397909,0.039526430080996,-344334860.2417991,-344470963.5195771,0.0,39.0,,993.308387,0.000395,1790285292.269734,0.02,11181.0,8831.0,0,,1.09139364212751e-11,0.0,1.03339552879333e-05,2.8421709430404e-14,2.27373675443232e-13,0.0,4.98443841934204e-06,2.8421709430404e-14,0.0,-344334860.241799,1200.26937797562,0.0,813522616.416597,0.0,2.27373675443232e-13,0.0,813522616.416597,1.0,0.0,-353955524.258349,True,False,False,False,1.022397909,True,True
repl-cplex-caso01a-Base-g0.01,replication,0,0,Simple,caso01a,data/entradas/entrada-modelo-simple/caso01a.txt,977dbcbdeb57dc61840639321d8ed5e438411e7a08abd3fc4a34cba517818a56,Base,cplex,0.01,42,1800.0,16,solver-robustness-v1,bee029090366943c2496a73a20240bfe5700fbd938e38f8542334561728cb78f,699fddaf6c983966dc9f6cffd8bc9952f59e030e,d7279d978438547fa2203930a8f0839b0854d4f85a384fc4388dab18d07d7a19,22.1.2.0,1e-06,1e-05,solver default,solver default,node09.datos.cluster.uy,Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,5810123,0,2026-09-24T21:27:40+00:00,2026-09-24T21:27:45+00:00,5.271790027618408,0,COMPLETED,False,False,,,,,,-353956000.0,OPTIMAL,1.053818322,0.039526430080996,-344334860.2417991,-344470963.5195771,0.0,39.0,,993.308387,0.000395,1790285263.197928,0.02,11181.0,8831.0,0,,1.09139364212751e-11,0.0,1.03339552879333e-05,2.8421709430404e-14,2.27373675443232e-13,0.0,4.98443841934204e-06,2.8421709430404e-14,0.0,-344334860.241799,1200.26937797562,0.0,813522616.416597,0.0,2.27373675443232e-13,0.0,813522616.416597,1.0,0.0,-353955524.258349,True,False,False,False,1.053818322,True,True
repl-cplex-caso01a-Flat-GM-g0.001,replication,0,4,Simple,caso01a,data/entradas/entrada-modelo-simple/caso01a.txt,977dbcbdeb57dc61840639321d8ed5e438411e7a08abd3fc4a34cba517818a56,Flat-GM,cplex,0.001,42,1800.0,16,solver-robustness-v1,bee029090366943c2496a73a20240bfe5700fbd938e38f8542334561728cb78f,699fddaf6c983966dc9f6cffd8bc9952f59e030e,d7279d978438547fa2203930a8f0839b0854d4f85a384fc4388dab18d07d7a19,22.1.2.0,1e-06,1e-05,solver default,solver default,node09.datos.cluster.uy,Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,5810123,0,2026-09-24T21:28:01+00:00,2026-09-24T21:28:04+00:00,3.555306226015091,0,COMPLETED,False,False,,,,,,-356371000.0,OPTIMAL,0.93487392,0.039526430080996,-344334860.2417991,-344470963.5195771,0.0,32.0,,901.0,0.0,1790285282.0,0.02,11181.0,8831.0,0,,2.38418579101562e-06,0.0,0.000140447169542313,0.0,1.13686837721616e-13,0.0,0.000140447169542313,7.49260292338025e-14,0.0,-344334860.241799,1200.26937797562,0.0,759628019.943084,0.0,1.13686837721616e-13,0.0,759628019.943084,1.0,0.0,-356371287.439061,True,False,False,False,0.93487392,True,True
repl-cplex-caso01a-Flat-GM-g0.01,replication,0,2,Simple,caso01a,data/entradas/entrada-modelo-simple/caso01a.txt,977dbcbdeb57dc61840639321d8ed5e438411e7a08abd3fc4a34cba517818a56,Flat-GM,cplex,0.01,42,1800.0,16,solver-robustness-v1,bee029090366943c2496a73a20240bfe5700fbd938e38f8542334561728cb78f,699fddaf6c983966dc9f6cffd8bc9952f59e030e,d7279d978438547fa2203930a8f0839b0854d4f85a384fc4388dab18d07d7a19,22.1.2.0,1e-06,1e-05,solver default,solver default,node09.datos.cluster.uy,Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,5810123,0,2026-09-24T21:27:52+00:00,2026-09-24T21:27:56+00:00,3.695408895611763,0,COMPLETED,False,False,,,,,,-356371000.0,OPTIMAL,0.925442281,0.039526430080996,-344334860.2417991,-344470963.5195771,0.0,32.0,,901.0,0.0,1790285273.0,0.02,11181.0,8831.0,0,,2.38418579101562e-06,0.0,0.000140447169542313,0.0,1.13686837721616e-13,0.0,0.000140447169542313,7.49260292338025e-14,0.0,-344334860.241799,1200.26937797562,0.0,759628019.943084,0.0,1.13686837721616e-13,0.0,759628019.943084,1.0,0.0,-356371287.439061,True,False,False,False,0.925442281,True,True
repl-cplex-caso01a-Flat-L2-g0.001,replication,0,5,Simple,caso01a,data/entradas/entrada-modelo-simple/caso01a.txt,977dbcbdeb57dc61840639321d8ed5e438411e7a08abd3fc4a34cba517818a56,Flat-L2,cplex,0.001,42,1800.0,16,solver-robustness-v1,bee029090366943c2496a73a20240bfe5700fbd938e38f8542334561728cb78f,699fddaf6c983966dc9f6cffd8bc9952f59e030e,d7279d978438547fa2203930a8f0839b0854d4f85a384fc4388dab18d07d7a19,22.1.2.0,1e-06,1e-05,solver default,solver default,node09.datos.cluster.uy,Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,5810123,0,2026-09-24T21:28:05+00:00,2026-09-24T21:28:08+00:00,3.639848753809929,0,COMPLETED,False,False,,,,,,-355689000.0,OPTIMAL,0.959067192,0.039526430080996,-344334860.24179935,-344470963.5195773,0.0,32.0,,982.0,0.0,1790285286.0,0.02,11181.0,8831.0,0,,1.13686837721616e-13,0.0,0.000139828771352768,2.8421709430404e-14,2.27373675443232e-13,0.0,0.000139828771352768,7.45961249646103e-14,0.0,-344334860.241799,1200.26937797562,0.0,760195694.836545,0.0,2.27373675443232e-13,0.0,760195694.836545,0.90919052292551,0.0,-355689013.963495,True,False,False,False,0.959067192,True,True
repl-cplex-caso01a-Flat-L2-g0.01,replication,0,3,Simple,caso01a,data/entradas/entrada-modelo-simple/caso01a.txt,977dbcbdeb57dc61840639321d8ed5e438411e7a08abd3fc4a34cba517818a56,Flat-L2,cplex,0.01,42,1800.0,16,solver-robustness-v1,bee029090366943c2496a73a20240bfe5700fbd938e38f8542334561728cb78f,699fddaf6c983966dc9f6cffd8bc9952f59e030e,d7279d978438547fa2203930a8f0839b0854d4f85a384fc4388dab18d07d7a19,22.1.2.0,1e-06,1e-05,solver default,solver default,node09.datos.cluster.uy,Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,5810123,0,2026-09-24T21:27:56+00:00,2026-09-24T21:28:00+00:00,3.672744110226631,0,COMPLETED,False,False,,,,,,-355689000.0,OPTIMAL,0.949943591,0.039526430080996,-344334860.24179935,-344470963.5195773,0.0,32.0,,982.0,0.0,1790285278.0,0.02,11181.0,8831.0,0,,1.13686837721616e-13,0.0,0.000139828771352768,2.8421709430404e-14,2.27373675443232e-13,0.0,0.000139828771352768,7.45961249646103e-14,0.0,-344334860.241799,1200.26937797562,0.0,760195694.836545,0.0,2.27373675443232e-13,0.0,760195694.836545,0.90919052292551,0.0,-355689013.963495,True,False,False,False,0.949943591,True,True
repl-cplex-caso01a-Role-Hybrid-g0.001,replication,0,7,Simple,caso01a,data/entradas/entrada-modelo-simple/caso01a.txt,977dbcbdeb57dc61840639321d8ed5e438411e7a08abd3fc4a34cba517818a56,Role-Hybrid,cplex,0.001,42,1800.0,16,solver-robustness-v1,bee029090366943c2496a73a20240bfe5700fbd938e38f8542334561728cb78f,699fddaf6c983966dc9f6cffd8bc9952f59e030e,d7279d978438547fa2203930a8f0839b0854d4f85a384fc4388dab18d07d7a19,22.1.2.0,1e-06,1e-05,solver default,solver default,node09.datos.cluster.uy,Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,5810123,0,2026-09-24T21:28:15+00:00,2026-09-24T21:28:18+00:00,3.427654206752777,0,COMPLETED,False,False,,,,,,-356371000.0,OPTIMAL,0.917204558,0.039526430080996,-344334860.2417991,-344470963.5195771,0.0,32.0,,901.0,0.0,1790285296.0,0.02,11181.0,8831.0,0,,2.38418579101562e-06,0.0,0.000140447169542313,0.0,1.13686837721616e-13,0.0,0.000140447169542313,7.49260292338025e-14,0.0,-344334860.241799,1200.26937797562,0.0,759628019.943084,0.0,1.13686837721616e-13,0.0,759628019.943084,1.0,0.0,-356371287.439061,True,False,False,False,0.917204558,True,True
repl-cplex-caso01a-Role-Hybrid-g0.01,replication,0,1,Simple,caso01a,data/entradas/entrada-modelo-simple/caso01a.txt,977dbcbdeb57dc61840639321d8ed5e438411e7a08abd3fc4a34cba517818a56,Role-Hybrid,cplex,0.01,42,1800.0,16,solver-robustness-v1,bee029090366943c2496a73a20240bfe5700fbd938e38f8542334561728cb78f,699fddaf6c983966dc9f6cffd8bc9952f59e030e,d7279d978438547fa2203930a8f0839b0854d4f85a384fc4388dab18d07d7a19,22.1.2.0,1e-06,1e-05,solver default,solver default,node09.datos.cluster.uy,Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,5810123,0,2026-09-24T21:27:46+00:00,2026-09-24T21:27:50+00:00,4.305656597018242,0,COMPLETED,False,False,,,,,,-356371000.0,OPTIMAL,0.90290201,0.039526430080996,-344334860.2417991,-344470963.5195771,0.0,32.0,,901.0,0.0,1790285268.0,0.02,11181.0,8831.0,0,,2.38418579101562e-06,0.0,0.000140447169542313,0.0,1.13686837721616e-13,0.0,0.000140447169542313,7.49260292338025e-14,0.0,-344334860.241799,1200.26937797562,0.0,759628019.943084,0.0,1.13686837721616e-13,0.0,759628019.943084,1.0,0.0,-356371287.439061,True,False,False,False,0.90290201,True,True
repl-cplex-caso03b-Base-g0.001,replication,1,13,Simple,caso03b,data/entradas/entrada-modelo-simple/caso03b.txt,68ebb32dd43d2711bd86052437b23fb39d43161fbf06d44535bea21d6eb3b4d0,Base,cplex,0.001,42,1800.0,16,solver-robustness-v1,bee029090366943c2496a73a20240bfe5700fbd938e38f8542334561728cb78f,699fddaf6c983966dc9f6cffd8bc9952f59e030e,d7279d978438547fa2203930a8f0839b0854d4f85a384fc4388dab18d07d7a19,22.1.2.0,1e-06,1e-05,solver default,solver default,node09.datos.cluster.uy,Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,5810124,1,2026-09-24T21:28:18+00:00,2026-09-24T21:28:39+00:00,20.756962448358536,0,COMPLETED,False,False,,,,,,-381178000.0,OPTIMAL,14.530840185,0.076241914843255,-379767713.91566956,-380057256.0927153,5863.0,35861.0,,17739.31805,0.037267,1790285305.049255,0.02,11093.0,8773.0,0,,2.38418579101562e-07,0.0,0.000238005071878433,2.19378726454371e-13,2.27373675443232e-13,2.13150677663698e-13,0.000238005071878433,1.78456729202197e-12,0.0,-379767713.91567,1451.87157388448,0.0,715469119.660696,2.19378726454371e-13,2.27373675443232e-13,2.13150677663698e-13,715469119.660696,1.0,0.0,-381178161.853306,True,False,False,False,14.530840185,True,True
repl-cplex-caso03b-Base-g0.01,replication,1,9,Simple,caso03b,data/entradas/entrada-modelo-simple/caso03b.txt,68ebb32dd43d2711bd86052437b23fb39d43161fbf06d44535bea21d6eb3b4d0,Base,cplex,0.01,42,1800.0,16,solver-robustness-v1,bee029090366943c2496a73a20240bfe5700fbd938e38f8542334561728cb78f,699fddaf6c983966dc9f6cffd8bc9952f59e030e,d7279d978438547fa2203930a8f0839b0854d4f85a384fc4388dab18d07d7a19,22.1.2.0,1e-06,1e-05,solver default,solver default,node09.datos.cluster.uy,Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,5810124,1,2026-09-24T21:27:46+00:00,2026-09-24T21:28:06+00:00,19.872619345784187,0,COMPLETED,False,False,,,,,,-381178000.0,OPTIMAL,14.389365563,0.076241914843255,-379767713.91566956,-380057256.0927153,5862.0,35861.0,,17738.741177,0.037267,1790285272.712561,0.02,11093.0,8773.0,0,,2.38418579101562e-07,0.0,0.000238005071878433,2.19378726454371e-13,2.27373675443232e-13,2.13150677663698e-13,0.000238005071878433,1.78456729202197e-12,0.0,-379767713.91567,1451.87157388448,0.0,715469119.660696,2.19378726454371e-13,2.27373675443232e-13,2.13150677663698e-13,715469119.660696,1.0,0.0,-381178161.853306,True,False,False,False,14.389365563,True,True
