run_id,stage,shard,order,family,instance,instance_path,instance_sha256,policy,solver,gap,seed,cap_s,threads
repl-seed7-caso01a-Base-g0.01,replication,0,0,Simple,caso01a,data/entradas/entrada-modelo-simple/caso01a.txt,977dbcbdeb57dc61840639321d8ed5e438411e7a08abd3fc4a34cba517818a56,Base,gurobi,0.01,7,1800.0,16
repl-seed7-caso01a-Role-Hybrid-g0.01,replication,0,1,Simple,caso01a,data/entradas/entrada-modelo-simple/caso01a.txt,977dbcbdeb57dc61840639321d8ed5e438411e7a08abd3fc4a34cba517818a56,Role-Hybrid,gurobi,0.01,7,1800.0,16
repl-seed7-caso01a-Flat-GM-g0.01,replication,0,2,Simple,caso01a,data/entradas/entrada-modelo-simple/caso01a.txt,977dbcbdeb57dc61840639321d8ed5e438411e7a08abd3fc4a34cba517818a56,Flat-GM,gurobi,0.01,7,1800.0,16
repl-seed7-caso01a-Flat-L2-g0.01,replication,0,3,Simple,caso01a,data/entradas/entrada-modelo-simple/caso01a.txt,977dbcbdeb57dc61840639321d8ed5e438411e7a08abd3fc4a34cba517818a56,Flat-L2,gurobi,0.01,7,1800.0,16
repl-seed7-caso01a-Base-g0.001,replication,0,4,Simple,caso01a,data/entradas/entrada-modelo-simple/caso01a.txt,977dbcbdeb57dc61840639321d8ed5e438411e7a08abd3fc4a34cba517818a56,Base,gurobi,0.001,7,1800.0,16
repl-seed7-caso01a-Flat-L2-g0.001,replication,0,5,Simple,caso01a,data/entradas/entrada-modelo-simple/caso01a.txt,977dbcbdeb57dc61840639321d8ed5e438411e7a08abd3fc4a34cba517818a56,Flat-L2,gurobi,0.001,7,1800.0,16
repl-seed7-caso01a-Role-Hybrid-g0.001,replication,0,6,Simple,caso01a,data/entradas/entrada-modelo-simple/caso01a.txt,977dbcbdeb57dc61840639321d8ed5e438411e7a08abd3fc4a34cba517818a56,Role-Hybrid,gurobi,0.001,7,1800.0,16
repl-seed7-caso01a-Flat-GM-g0.001,replication,0,7,Simple,caso01a,data/entradas/entrada-modelo-simple/caso01a.txt,977dbcbdeb57dc61840639321d8ed5e438411e7a08abd3fc4a34cba517818a56,Flat-GM,gurobi,0.001,7,1800.0,16
repl-seed7-caso03b-Role-Hybrid-g0.01,replication,1,8,Simple,caso03b,data/entradas/entrada-modelo-simple/caso03b.txt,68ebb32dd43d2711bd86052437b23fb39d43161fbf06d44535bea21d6eb3b4d0,Role-Hybrid,gurobi,0.01,7,1800.0,16
repl-seed7-caso03b-Flat-L2-g0.01,replication,1,9,Simple,caso03b,data/entradas/entrada-modelo-simple/caso03b.txt,68ebb32dd43d2711bd86052437b23fb39d43161fbf06d44535bea21d6eb3b4d0,Flat-L2,gurobi,0.01,7,1800.0,16
repl-seed7-caso03b-Flat-GM-g0.01,replication,1,10,Simple,caso03b,data/entradas/entrada-modelo-simple/caso03b.txt,68ebb32dd43d2711bd86052437b23fb39d43161fbf06d44535bea21d6eb3b4d0,Flat-GM,gurobi,0.01,7,1800.0,16
repl-seed7-caso03b-Base-g0.01,replication,1,11,Simple,caso03b,data/entradas/entrada-modelo-simple/caso03b.txt,68ebb32dd43d2711bd86052437b23fb39d43161fbf06d44535bea21d6eb3b4d0,Base,gurobi,0.01,7,1800.0,16
repl-seed7-caso03b-Flat-GM-g0.001,replication,1,12,Simple,caso03b,data/entradas/entrada-modelo-simple/caso03b.txt,68ebb32dd43d2711bd86052437b23fb39d43161fbf06d44535bea21d6eb3b4d0,Flat-GM,gurobi,0.001,7,1800.0,16
repl-seed7-caso03b-Flat-L2-g0.001,replication,1,13,Simple,caso03b,data/entradas/entrada-modelo-simple/caso03b.txt,68ebb32dd43d2711bd86052437b23fb39d43161fbf06d44535bea21d6eb3b4d0,Flat-L2,gurobi,0.001,7,1800.0,16
repl-seed7-caso03b-Role-Hybrid-g0.001,replication,1,14,Simple,caso03b,data/entradas/entrada-modelo-simple/caso03b.txt,68ebb32dd43d2711bd86052437b23fb39d43161fbf06d44535bea21d6eb3b4d0,Role-Hybrid,gurobi,0.001,7,1800.0,16
